frame,t,state,A,Ap,Ab,dA_dt,osc,risk,ttc_risk,traj_conf,transition
90,15.323,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
91,15.467,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
92,15.655,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
93,15.833,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
94,15.995,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
95,16.131,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
96,16.266,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
97,16.411,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
98,16.547,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
99,16.683,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
100,16.811,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
101,16.976,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
102,17.105,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
103,17.236,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
104,17.36,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
105,17.487,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
106,17.624,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
107,17.755,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
108,17.886,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
109,18.019,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
110,18.148,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
111,18.277,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
112,18.408,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
113,18.537,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
114,18.659,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
115,18.803,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
116,18.932,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
117,19.069,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
118,19.197,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
119,19.326,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
120,19.455,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
121,19.584,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
122,19.722,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
123,19.849,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
124,19.974,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
125,20.1,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
126,20.232,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
127,20.358,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
128,20.488,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
129,20.623,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
130,20.767,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
131,20.899,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
132,21.04,CRUISE,0.1688,0.375,0.0,-0.0,0.0,0.0,0.0,0.0,
