frame,t,state,A,Ap,Ab,dA_dt,osc,risk,ttc_risk,traj_conf,transition
125,27.162,CRUISE,0.344,0.4914,0.0,0.0012,0.0005,0.0,0.0,0.0,
126,27.353,CRUISE,0.344,0.4914,0.0,0.0016,0.0005,0.0,0.0,0.0,
127,27.532,CRUISE,0.344,0.4914,0.0,0.0021,0.0005,0.0,0.0,0.0,
128,27.708,CRUISE,0.344,0.4914,0.0,0.0022,0.0005,0.0,0.0,0.0,
129,27.891,CRUISE,0.344,0.4914,0.0,0.0023,0.0006,0.0,0.0,0.0,
130,28.064,CRUISE,0.344,0.4914,0.0,0.0024,0.0006,0.0,0.0,0.0,
131,28.243,CRUISE,0.344,0.4914,0.0,0.0024,0.0006,0.0,0.0,0.0,
132,28.419,CRUISE,0.344,0.4914,0.0,0.0024,0.0006,0.0,0.0,0.0,
133,28.596,CRUISE,0.344,0.4914,0.0,0.0024,0.0006,0.0,0.0,0.0,
134,28.772,CRUISE,0.344,0.4914,0.0,0.0024,0.0006,0.0,0.0,0.0,
135,28.953,CRUISE,0.344,0.4914,0.0,0.0024,0.0006,0.0,0.0,0.0,
136,29.151,CRUISE,0.344,0.4914,0.0,0.0023,0.0006,0.0,0.0,0.0,
137,29.328,CRUISE,0.344,0.4914,0.0,0.0022,0.0005,0.0,0.0,0.0,
138,29.509,CRUISE,0.344,0.4914,0.0,0.0021,0.0005,0.0,0.0,0.0,
139,29.683,CRUISE,0.344,0.4914,0.0,0.002,0.0005,0.0,0.0,0.0,
140,29.859,CRUISE,0.344,0.4914,0.0,0.0018,0.0004,0.0,0.0,0.0,
141,30.033,CRUISE,0.344,0.4914,0.0,0.0016,0.0004,0.0,0.0,0.0,
142,30.211,CRUISE,0.344,0.4914,0.0,0.0014,0.0003,0.0,0.0,0.0,
143,30.405,CRUISE,0.344,0.4914,0.0,0.0012,0.0003,0.0,0.0,0.0,
144,30.579,CRUISE,0.344,0.4914,0.0,0.001,0.0002,0.0,0.0,0.0,
