scenario,policy,trial,hqm,S,E,B,R,unsafe_commits,decision_latency_ms,resolution,n_transitions
pedestrian_curb,ttc_only,10,0.5764,0.0189,1.0,0.8441,1.0,0,0.0,TTC_COMMIT,1
pedestrian_curb,greedy,11,0.6,0.0,1.0,1.0,1.0,0,0.0,GREEDY_COMMIT,0
pedestrian_curb,hesitation,11,0.7606,0.5491,1.0,0.7049,1.0,0,1900.0,EARNED_COMMIT,2
pedestrian_curb,fixed_delay,11,0.4436,-0.22,1.0,0.6582,1.0,0,2000.0,FIXED_DELAY,1
pedestrian_curb,random_delay,11,0.5374,0.0502,1.0,0.5867,1.0,0,2541.7,RANDOM_DELAY,1
pedestrian_curb,risk_threshold,11,0.5722,0.0086,1.0,0.8438,1.0,0,0.0,RISK_THRESHOLD,1
pedestrian_curb,ttc_only,11,0.5722,0.0086,1.0,0.8438,1.0,0,0.0,TTC_COMMIT,1
pedestrian_curb,greedy,12,0.6,0.0,1.0,1.0,1.0,0,0.0,GREEDY_COMMIT,0
pedestrian_curb,hesitation,12,0.7416,0.5027,1.0,0.7024,1.0,0,1900.0,EARNED_COMMIT,2
pedestrian_curb,fixed_delay,12,0.4391,-0.2316,1.0,0.6588,1.0,0,2000.0,FIXED_DELAY,1
pedestrian_curb,random_delay,12,0.5458,0.0687,1.0,0.5916,1.0,0,3034.2,RANDOM_DELAY,1
pedestrian_curb,risk_threshold,12,0.5747,0.0149,1.0,0.8437,1.0,0,0.0,RISK_THRESHOLD,1
pedestrian_curb,ttc_only,12,0.5747,0.0149,1.0,0.8437,1.0,0,0.0,TTC_COMMIT,1
pedestrian_curb,greedy,13,0.6,0.0,1.0,1.0,1.0,0,0.0,GREEDY_COMMIT,0
pedestrian_curb,hesitation,13,0.7467,0.5198,1.0,0.6939,1.0,0,1933.3,EARNED_COMMIT,2
pedestrian_curb,fixed_delay,13,0.4394,-0.2314,1.0,0.6596,1.0,0,2000.0,FIXED_DELAY,1
pedestrian_curb,random_delay,13,0.4679,-0.1387,1.0,0.617,1.0,0,2108.4,RANDOM_DELAY,1
pedestrian_curb,risk_threshold,13,0.5748,0.0149,1.0,0.8443,1.0,0,0.0,RISK_THRESHOLD,1
pedestrian_curb,ttc_only,13,0.5748,0.0149,1.0,0.8443,1.0,0,0.0,TTC_COMMIT,1
pedestrian_curb,greedy,14,0.6,0.0,1.0,1.0,1.0,0,0.0,GREEDY_COMMIT,0
pedestrian_curb,hesitation,14,0.7406,0.4995,1.0,0.7042,1.0,0,1900.0,EARNED_COMMIT,2
pedestrian_curb,fixed_delay,14,0.4334,-0.2474,1.0,0.6618,1.0,0,2000.0,FIXED_DELAY,1
pedestrian_curb,random_delay,14,0.4487,-0.2964,1.0,0.8363,1.0,0,1043.2,RANDOM_DELAY,1
pedestrian_curb,risk_threshold,14,0.5776,0.0221,1.0,0.844,1.0,0,0.0,RISK_THRESHOLD,1
pedestrian_curb,ttc_only,14,0.5776,0.0221,1.0,0.844,1.0,0,0.0,TTC_COMMIT,1
pedestrian_curb,greedy,15,0.6,0.0,1.0,1.0,1.0,0,0.0,GREEDY_COMMIT,0
pedestrian_curb,hesitation,15,0.7406,0.4995,1.0,0.7038,1.0,0,1900.0,EARNED_COMMIT,2
pedestrian_curb,fixed_delay,15,0.4336,-0.2425,1.0,0.653,1.0,0,2000.0,FIXED_DELAY,1
pedestrian_curb,random_delay,15,0.5417,0.0623,1.0,0.5837,1.0,0,2833.9,RANDOM_DELAY,1
