config_idx,mean_hqm,beats_greedy,tau_low,tau_high,rho_commit,sigma_stable
240,0.69,True,0.396741,0.440653,0.573579,0.03151
241,0.6627,True,0.363232,0.63866,0.363752,0.031635
242,0.6856,True,0.453101,0.516915,0.597202,0.041727
243,0.6875,True,0.486395,0.455002,0.678572,0.051254
244,0.6752,True,0.381133,0.739958,0.525912,0.042578
245,0.6826,True,0.452014,0.643793,0.723168,0.030184
246,0.6794,True,0.417554,0.715943,0.468795,0.038786
247,0.6888,True,0.309462,0.423227,0.496652,0.037355
248,0.6662,True,0.306764,0.709948,0.696381,0.069596
249,0.6768,True,0.411994,0.810093,0.66441,0.050695
250,0.6842,True,0.3223,0.589544,0.485939,0.066099
251,0.6878,True,0.476194,0.459985,0.641019,0.065109
252,0.6859,True,0.434451,0.455438,0.331776,0.055177
253,0.6769,True,0.467419,0.721321,0.351326,0.044849
254,0.6855,True,0.261941,0.524378,0.381319,0.066767
255,0.6872,True,0.338447,0.459268,0.618643,0.053398
256,0.6845,True,0.30554,0.550971,0.712783,0.066177
257,0.6871,True,0.287088,0.473358,0.395196,0.063411
258,0.69,True,0.396702,0.403963,0.690456,0.059987
259,0.6735,True,0.357584,0.804088,0.545047,0.068704
260,0.6856,True,0.350154,0.60418,0.657603,0.047616
261,0.6771,True,0.400416,0.722074,0.452482,0.043236
262,0.6737,True,0.334704,0.732776,0.758906,0.039416
263,0.6693,True,0.365022,0.696107,0.749237,0.061368
264,0.6871,True,0.212097,0.495986,0.692321,0.05807
265,0.6796,True,0.259986,0.681558,0.385439,0.043474
266,0.684,True,0.322357,0.535192,0.563852,0.05332
267,0.6875,True,0.426286,0.519671,0.404151,0.034893
268,0.6712,True,0.27876,0.749224,0.698771,0.030357
269,0.6904,True,0.371723,0.406747,0.692696,0.037113
270,0.6843,True,0.411416,0.571791,0.621369,0.063521
271,0.673,True,0.328726,0.908866,0.660469,0.054272
272,0.6802,True,0.460137,0.656598,0.68836,0.059762
273,0.6841,True,0.35543,0.596105,0.555517,0.047793
274,0.689,True,0.469537,0.399745,0.758089,0.060874
275,0.6648,True,0.398192,0.627127,0.537591,0.048216
276,0.6629,True,0.252609,0.718664,0.430132,0.032517
277,0.6631,True,0.441613,0.513982,0.478556,0.055002
278,0.6671,True,0.261273,0.793775,0.463099,0.048417
279,0.6837,True,0.424589,0.562458,0.687485,0.041792
280,0.6851,True,0.290651,0.628691,0.470115,0.04979
281,0.6814,True,0.280013,0.882163,0.473213,0.048679
282,0.6905,True,0.326169,0.392899,0.436516,0.052704
283,0.6734,True,0.274411,0.725894,0.525648,0.043798
284,0.6854,True,0.296136,0.555675,0.369184,0.06343
285,0.679,True,0.309766,0.844147,0.454819,0.044585
286,0.6795,True,0.413605,0.6848,0.710356,0.033399
287,0.6862,True,0.342783,0.591795,0.641614,0.060828
288,0.6761,True,0.307966,0.805478,0.746004,0.057419
289,0.6897,True,0.452213,0.402655,0.506567,0.034785
290,0.6855,True,0.353014,0.493606,0.582076,0.058861
291,0.6618,True,0.385844,0.57211,0.493411,0.042897
292,0.689,True,0.447858,0.408742,0.742988,0.042779
293,0.6541,True,0.322859,0.733345,0.530628,0.051765
294,0.6903,True,0.23431,0.462204,0.597666,0.030759
295,0.657,True,0.316813,0.753922,0.595556,0.062774
296,0.683,True,0.334963,0.785785,0.628615,0.068636
297,0.6851,True,0.402814,0.600745,0.751169,0.063296
298,0.679,True,0.486639,0.643299,0.694676,0.065618
299,0.6753,True,0.29115,0.719865,0.715993,0.03473
300,0.6857,True,0.356832,0.533176,0.545032,0.060045
301,0.6885,True,0.336922,0.460141,0.474308,0.036131
302,0.6847,True,0.472536,0.551805,0.724564,0.069716
303,0.6707,True,0.360152,0.88647,0.613583,0.0449
304,0.6825,True,0.438919,0.639912,0.456168,0.062964
305,0.6878,True,0.434669,0.443154,0.65754,0.049645
306,0.6668,True,0.240581,0.865581,0.678934,0.052519
307,0.6693,True,0.282334,0.718534,0.485002,0.046557
308,0.6854,True,0.378909,0.525478,0.467266,0.037249
309,0.6755,True,0.308177,0.846443,0.57582,0.064811
310,0.6699,True,0.303728,0.727846,0.590822,0.069999
311,0.6805,True,0.480392,0.785947,0.700413,0.049343
312,0.6727,True,0.298734,0.88052,0.52838,0.044418
313,0.6679,True,0.224301,0.773919,0.386455,0.056128
314,0.6858,True,0.259364,0.521865,0.384435,0.036402
315,0.6675,True,0.222981,0.862206,0.370003,0.047254
316,0.6622,True,0.242415,0.781521,0.609588,0.031835
317,0.6663,True,0.465427,0.86287,0.571103,0.062088
318,0.6743,True,0.34587,0.889893,0.701322,0.046236
319,0.6844,True,0.392206,0.528425,0.633988,0.052675
320,0.6875,True,0.335449,0.46729,0.582108,0.066494
321,0.6759,True,0.419643,0.793476,0.354772,0.068306
322,0.665,True,0.237473,0.799295,0.646442,0.039993
323,0.6827,True,0.25247,0.678578,0.743397,0.04156
324,0.6624,True,0.211224,0.867539,0.494867,0.042088
325,0.683,True,0.48697,0.682235,0.338655,0.049309
326,0.686,True,0.382043,0.592808,0.402073,0.049598
327,0.6849,True,0.457672,0.544726,0.717826,0.034203
328,0.6783,True,0.470845,0.76717,0.399111,0.058583
329,0.669,True,0.306502,0.712751,0.484226,0.067665
330,0.6654,True,0.236676,0.711295,0.398669,0.037122
331,0.6893,True,0.403307,0.392895,0.698671,0.051166
332,0.683,True,0.321558,0.538908,0.498898,0.039241
333,0.6771,True,0.332294,0.816574,0.434621,0.065613
334,0.6804,True,0.407531,0.800872,0.385372,0.067099
335,0.6781,True,0.329251,0.749739,0.351638,0.052435
336,0.6767,True,0.282773,0.887599,0.748616,0.041182
337,0.6852,True,0.455301,0.514144,0.39324,0.043184
338,0.6805,True,0.376557,0.74997,0.500255,0.050164
339,0.6625,True,0.277879,0.534309,0.703105,0.034637
340,0.6762,True,0.457495,0.853545,0.668854,0.044304
341,0.6609,True,0.2239,0.774621,0.530886,0.037964
342,0.6684,True,0.285859,0.853698,0.417599,0.038377
343,0.683,True,0.472124,0.646264,0.525539,0.059781
344,0.6854,True,0.40189,0.550511,0.665358,0.05917
345,0.6604,True,0.234953,0.728419,0.629226,0.038257
346,0.6894,True,0.219446,0.434002,0.60445,0.06886
347,0.6878,True,0.248612,0.476037,0.457338,0.058444
348,0.6696,True,0.355966,0.838255,0.558753,0.06124
349,0.6892,True,0.417176,0.428498,0.588707,0.062101
350,0.6879,True,0.478804,0.45945,0.712908,0.060672
351,0.6851,True,0.362927,0.597824,0.562661,0.058433
352,0.6825,True,0.31531,0.592147,0.719824,0.065721
353,0.6864,True,0.436627,0.585061,0.755863,0.060218
354,0.6844,True,0.230266,0.521883,0.497788,0.053362
355,0.6849,True,0.464442,0.57267,0.374026,0.036332
356,0.6877,True,0.410971,0.469652,0.736843,0.036296
357,0.6711,True,0.247669,0.782981,0.382912,0.047879
358,0.6912,True,0.441755,0.393104,0.595791,0.034565
359,0.6853,True,0.372191,0.587683,0.603571,0.062058
360,0.684,True,0.462597,0.582563,0.36355,0.069098
361,0.685,True,0.290132,0.606673,0.522698,0.05526
362,0.688,True,0.250757,0.424985,0.569434,0.035366
363,0.6842,True,0.277664,0.667629,0.584373,0.050555
364,0.681,True,0.382251,0.796747,0.722164,0.067145
365,0.6772,True,0.297322,0.84157,0.64516,0.033883
366,0.6888,True,0.431067,0.480037,0.569278,0.032884
367,0.6633,True,0.221568,0.837656,0.357723,0.053717
368,0.6859,True,0.456313,0.572957,0.621088,0.06205
369,0.6812,True,0.222305,0.620506,0.353734,0.068988
370,0.6769,True,0.488949,0.694533,0.603258,0.055377
371,0.6719,True,0.395109,0.693294,0.401759,0.066422
372,0.671,True,0.353559,0.848608,0.666882,0.041157
373,0.6582,True,0.442089,0.735554,0.564394,0.04858
374,0.6882,True,0.309845,0.445087,0.745263,0.067574
375,0.6805,True,0.340426,0.633422,0.515352,0.032616
376,0.6879,True,0.467258,0.478866,0.720173,0.041422
377,0.6867,True,0.458544,0.502379,0.712232,0.058667
378,0.6903,True,0.325938,0.392228,0.402313,0.043962
379,0.6665,True,0.391065,0.434425,0.62709,0.06599
380,0.6709,True,0.381025,0.905723,0.551544,0.054525
381,0.6895,True,0.401856,0.40604,0.532206,0.049099
382,0.671,True,0.26043,0.760885,0.724146,0.041684
383,0.6694,True,0.28057,0.889051,0.341509,0.036127
384,0.6868,True,0.218859,0.509943,0.367458,0.041088
385,0.6811,True,0.368463,0.867915,0.555592,0.046297
386,0.6817,True,0.210732,0.618921,0.566619,0.04161
387,0.6851,True,0.387003,0.639458,0.356913,0.045748
388,0.6683,True,0.372919,0.464512,0.41049,0.030296
389,0.6756,True,0.24118,0.678795,0.648299,0.068465
390,0.6522,True,0.297921,0.835034,0.631601,0.04805
391,0.6601,True,0.223729,0.775781,0.719045,0.063931
392,0.6855,True,0.342237,0.533465,0.359732,0.053485
393,0.661,True,0.22116,0.839522,0.639461,0.037905
394,0.6861,True,0.320717,0.484426,0.546821,0.049
395,0.6663,True,0.377753,0.420373,0.341358,0.056169
396,0.6672,True,0.318774,0.710366,0.432437,0.066062
397,0.6779,True,0.269048,0.850373,0.493908,0.047865
398,0.6658,True,0.346537,0.624002,0.728728,0.046181
399,0.6713,True,0.304405,0.829896,0.499717,0.041542
400,0.6872,True,0.367901,0.45977,0.473731,0.052942
401,0.6819,True,0.309568,0.76464,0.766229,0.042218
402,0.666,True,0.25559,0.908993,0.347501,0.057782
403,0.6854,True,0.216741,0.614844,0.649031,0.058047
404,0.6835,True,0.421546,0.767073,0.734296,0.055176
405,0.6858,True,0.464363,0.820973,0.740166,0.042993
406,0.6756,True,0.43667,0.730721,0.463844,0.041738
407,0.6861,True,0.278486,0.564972,0.728551,0.063177
408,0.6835,True,0.370162,0.57344,0.667911,0.033714
409,0.6815,True,0.334639,0.63895,0.445897,0.030267
410,0.6887,True,0.487836,0.409671,0.758475,0.065959
411,0.675,True,0.26909,0.787682,0.406988,0.049005
412,0.6827,True,0.344715,0.640139,0.332822,0.06297
413,0.6859,True,0.383754,0.606581,0.460344,0.059669
414,0.6764,True,0.31518,0.755947,0.552963,0.04074
415,0.6874,True,0.344596,0.52039,0.401102,0.030938
416,0.6691,True,0.472144,0.854484,0.439778,0.033013
417,0.6881,True,0.289631,0.43048,0.636742,0.042928
418,0.6839,True,0.29125,0.6312,0.544853,0.042591
419,0.6785,True,0.216073,0.658676,0.656325,0.06089
420,0.6749,True,0.453471,0.748172,0.519478,0.0434
421,0.6778,True,0.301062,0.779814,0.693439,0.030899
422,0.6889,True,0.310457,0.405209,0.682147,0.038244
423,0.6714,True,0.272849,0.689045,0.574176,0.063156
424,0.6649,True,0.231701,0.811703,0.488454,0.030822
425,0.6833,True,0.473117,0.593273,0.469149,0.03382
426,0.6819,True,0.349778,0.651676,0.559747,0.033882
427,0.6662,True,0.270571,0.742593,0.438733,0.069256
428,0.6801,True,0.361152,0.641397,0.407654,0.060648
429,0.6807,True,0.383035,0.660239,0.59166,0.066544
430,0.6818,True,0.289844,0.822792,0.51522,0.068591
431,0.6867,True,0.320475,0.577743,0.744851,0.055388
432,0.6823,True,0.392574,0.878049,0.726279,0.062359
433,0.6826,True,0.437655,0.597099,0.37456,0.064221
434,0.6858,True,0.477888,0.539019,0.568489,0.063004
435,0.6801,True,0.313076,0.893832,0.470572,0.068902
436,0.6812,True,0.31949,0.80009,0.449551,0.043946
437,0.6849,True,0.389139,0.582322,0.380037,0.034552
438,0.6589,True,0.487873,0.833114,0.754865,0.056354
439,0.6674,True,0.427816,0.704641,0.726573,0.064206
440,0.682,True,0.372865,0.658277,0.551227,0.033989
441,0.6868,True,0.416652,0.49945,0.411057,0.05364
442,0.6882,True,0.228269,0.40659,0.476501,0.069447
443,0.6793,True,0.469435,0.700784,0.352563,0.051171
444,0.6895,True,0.3129,0.415538,0.398482,0.057166
445,0.6886,True,0.418244,0.430913,0.559312,0.067316
446,0.6857,True,0.349095,0.533358,0.346604,0.062278
447,0.6659,True,0.210845,0.769785,0.347479,0.051888
448,0.6859,True,0.211173,0.514316,0.476056,0.046181
