scenario,trial,offset_s,t_actual,t_cf,hqm,S,E,B,R,risk_at_commit,risk_at_greedy,t_commit
occluded_intersection,3,-1.0,4.5,3.5,0.4062,-0.2647,1.0,0.9355,0.5,0.6066,0.3419,3.5
occluded_intersection,3,-0.5,4.5,4.0,0.6397,0.2127,0.9753,0.8037,1.0,0.1292,0.3419,4.0
occluded_intersection,3,0.0,4.5,4.5,0.6051,0.3285,0.9162,0.4732,1.0,0.0134,0.3419,4.5
occluded_intersection,3,0.5,4.5,5.0,0.556,0.3382,0.8607,0.2779,1.0,0.0037,0.3419,5.0
occluded_intersection,3,1.0,4.5,5.5,0.5202,0.3419,0.8086,0.1567,1.0,0.0,0.3419,5.5
occluded_intersection,3,1.5,4.5,6.0,0.4929,0.3419,0.7596,0.0811,1.0,0.0,0.3419,6.0
occluded_intersection,3,2.0,4.5,6.5,0.4739,0.3419,0.7136,0.0436,1.0,0.0,0.3419,6.5
occluded_intersection,4,-2.0,4.567,2.567,0.39,-0.2999,1.0,0.925,0.5,0.6589,0.359,2.567
occluded_intersection,4,-1.5,4.567,3.067,0.3944,-0.2924,1.0,0.9317,0.5,0.6514,0.359,3.067
occluded_intersection,4,-1.0,4.567,3.567,0.4175,-0.2376,1.0,0.9376,0.5,0.5966,0.359,3.567
occluded_intersection,4,-0.5,4.567,4.067,0.636,0.2086,0.9753,0.7934,1.0,0.1504,0.359,4.067
occluded_intersection,4,0.0,4.567,4.567,0.6163,0.3509,0.9162,0.4844,1.0,0.0081,0.359,4.567
occluded_intersection,4,0.5,4.567,5.067,0.5599,0.3444,0.8607,0.285,1.0,0.0146,0.359,5.067
occluded_intersection,4,1.0,4.567,5.567,0.5241,0.3469,0.8086,0.1659,1.0,0.0121,0.359,5.567
occluded_intersection,4,1.5,4.567,6.067,0.5027,0.359,0.7596,0.0961,1.0,0.0,0.359,6.067
occluded_intersection,4,2.0,4.567,6.567,0.4833,0.359,0.7136,0.0564,1.0,0.0,0.359,6.567
occluded_intersection,5,-2.0,4.367,2.367,0.3891,-0.2969,1.0,0.9141,0.5,0.6569,0.36,2.367
occluded_intersection,5,-1.5,4.367,2.867,0.3886,-0.3001,1.0,0.918,0.5,0.6601,0.36,2.867
occluded_intersection,5,-1.0,4.367,3.367,0.3956,-0.2864,1.0,0.9259,0.5,0.6464,0.36,3.367
occluded_intersection,5,-0.5,4.367,3.867,0.6262,0.1724,0.9753,0.817,1.0,0.1875,0.36,3.867
occluded_intersection,5,0.0,4.367,4.367,0.6212,0.36,0.9162,0.4909,1.0,0.0,0.36,4.367
occluded_intersection,5,0.5,4.367,4.867,0.5647,0.3539,0.8607,0.2896,1.0,0.0061,0.36,4.867
occluded_intersection,5,1.0,4.367,5.367,0.5294,0.36,0.8086,0.1664,1.0,0.0,0.36,5.367
occluded_intersection,5,1.5,4.367,5.867,0.5019,0.36,0.7596,0.09,1.0,0.0,0.36,5.867
occluded_intersection,5,2.0,4.367,6.367,0.4787,0.3504,0.7136,0.0509,1.0,0.0096,0.36,6.367
occluded_intersection,6,-2.0,4.433,2.433,0.3915,-0.2975,1.0,0.9275,0.5,0.6542,0.3567,2.433
occluded_intersection,6,-1.5,4.433,2.933,0.3878,-0.3092,1.0,0.9323,0.5,0.6659,0.3567,2.933
occluded_intersection,6,-1.0,4.433,3.433,0.4243,-0.2203,1.0,0.9373,0.5,0.577,0.3567,3.433
occluded_intersection,6,-0.5,4.433,3.933,0.6543,0.2433,0.9794,0.8105,1.0,0.1134,0.3567,3.933
occluded_intersection,6,0.0,4.433,4.433,0.6241,0.3567,0.92,0.5071,1.0,0.0,0.3567,4.433
occluded_intersection,6,0.5,4.433,4.933,0.5685,0.3567,0.8643,0.2987,1.0,0.0,0.3567,4.933
occluded_intersection,6,1.0,4.433,5.433,0.531,0.3567,0.8119,0.1766,1.0,0.0,0.3567,5.433
occluded_intersection,6,1.5,4.433,5.933,0.5042,0.3567,0.7627,0.1043,1.0,0.0,0.3567,5.933
occluded_intersection,6,2.0,4.433,6.433,0.4822,0.3507,0.7165,0.0638,1.0,0.006,0.3567,6.433
occluded_intersection,7,-2.0,4.4,2.4,0.4133,-0.2393,1.0,0.9203,0.5,0.6398,0.4005,2.4
occluded_intersection,7,-1.5,4.4,2.9,0.409,-0.2538,1.0,0.9276,0.5,0.6543,0.4005,2.9
occluded_intersection,7,-1.0,4.4,3.4,0.4502,-0.1534,1.0,0.9327,0.5,0.5539,0.4005,3.4
occluded_intersection,7,-0.5,4.4,3.9,0.6575,0.278,0.9753,0.7625,1.0,0.1225,0.4005,3.9
occluded_intersection,7,0.0,4.4,4.4,0.6322,0.3992,0.9162,0.4676,1.0,0.0013,0.4005,4.4
occluded_intersection,7,0.5,4.4,4.9,0.5792,0.4005,0.8607,0.2693,1.0,0.0,0.4005,4.9
occluded_intersection,7,1.0,4.4,5.4,0.5382,0.3912,0.8086,0.1476,1.0,0.0092,0.4005,5.4
occluded_intersection,7,1.5,4.4,5.9,0.5031,0.371,0.7596,0.0741,1.0,0.0295,0.4005,5.9
occluded_intersection,7,2.0,4.4,6.4,0.4941,0.3963,0.7136,0.036,1.0,0.0041,0.4005,6.4
occluded_intersection,8,-2.0,4.567,2.567,0.4076,-0.255,1.0,0.9232,0.5,0.6239,0.3688,2.567
occluded_intersection,8,-1.5,4.567,3.067,0.3932,-0.2935,1.0,0.9282,0.5,0.6624,0.3688,3.067
occluded_intersection,8,-1.0,4.567,3.567,0.427,-0.2119,1.0,0.9338,0.5,0.5808,0.3688,3.567
occluded_intersection,8,-0.5,4.567,4.067,0.66,0.2658,0.9753,0.7992,1.0,0.1031,0.3688,4.067
occluded_intersection,8,0.0,4.567,4.567,0.6152,0.3492,0.9162,0.4826,1.0,0.0197,0.3688,4.567
occluded_intersection,8,0.5,4.567,5.067,0.572,0.3688,0.8607,0.2963,1.0,0.0,0.3688,5.067
occluded_intersection,8,1.0,4.567,5.567,0.5338,0.3688,0.8086,0.1707,1.0,0.0,0.3688,5.567
occluded_intersection,8,1.5,4.567,6.067,0.5043,0.3625,0.7596,0.0973,1.0,0.0064,0.3688,6.067
occluded_intersection,8,2.0,4.567,6.567,0.4799,0.352,0.7136,0.0536,1.0,0.0168,0.3688,6.567
occluded_intersection,9,-2.0,4.5,2.5,0.3888,-0.3022,1.0,0.9233,0.5,0.669,0.3668,2.5
occluded_intersection,9,-1.5,4.5,3.0,0.396,-0.2873,1.0,0.9297,0.5,0.6541,0.3668,3.0
occluded_intersection,9,-1.0,4.5,3.5,0.4207,-0.2287,1.0,0.9358,0.5,0.5954,0.3668,3.5
occluded_intersection,9,-0.5,4.5,4.0,0.6461,0.2402,0.9713,0.7858,1.0,0.1265,0.3668,4.0
occluded_intersection,9,0.0,4.5,4.5,0.6111,0.3447,0.9124,0.4755,1.0,0.0221,0.3668,4.5
occluded_intersection,9,0.5,4.5,5.0,0.5681,0.3668,0.8571,0.2856,1.0,0.0,0.3668,5.0
occluded_intersection,9,1.0,4.5,5.5,0.5312,0.3668,0.8052,0.1657,1.0,0.0,0.3668,5.5
occluded_intersection,9,1.5,4.5,6.0,0.5044,0.3649,0.7564,0.0968,1.0,0.0018,0.3668,6.0
occluded_intersection,9,2.0,4.5,6.5,0.4826,0.3593,0.7106,0.0561,1.0,0.0075,0.3668,6.5
occluded_intersection,10,-2.0,4.567,2.567,0.3833,-0.3184,1.0,0.9285,0.5,0.6605,0.3421,2.567
occluded_intersection,10,-1.5,4.567,3.067,0.3864,-0.3139,1.0,0.9346,0.5,0.656,0.3421,3.067
occluded_intersection,10,-1.0,4.567,3.567,0.4173,-0.2394,1.0,0.9406,0.5,0.5815,0.3421,3.567
occluded_intersection,10,-0.5,4.567,4.067,0.6453,0.2252,0.9713,0.8121,1.0,0.1169,0.3421,4.067
occluded_intersection,10,0.0,4.567,4.567,0.6024,0.3158,0.9124,0.4898,1.0,0.0263,0.3421,4.567
occluded_intersection,10,0.5,4.567,5.067,0.5583,0.3421,0.8571,0.2861,1.0,0.0,0.3421,5.067
occluded_intersection,10,1.0,4.567,5.567,0.5193,0.3386,0.8052,0.1626,1.0,0.0035,0.3421,5.567
occluded_intersection,10,1.5,4.567,6.067,0.4867,0.3236,0.7564,0.0907,1.0,0.0185,0.3421,6.067
occluded_intersection,10,2.0,4.567,6.567,0.4756,0.3421,0.7106,0.0558,1.0,0.0,0.3421,6.567
occluded_intersection,11,-2.0,4.8,2.8,0.4051,-0.2594,1.0,0.9192,0.5,0.6494,0.39,2.8
occluded_intersection,11,-1.5,4.8,3.3,0.4058,-0.2602,1.0,0.9245,0.5,0.6502,0.39,3.3
occluded_intersection,11,-1.0,4.8,3.8,0.4213,-0.225,1.0,0.9316,0.5,0.615,0.39,3.8
occluded_intersection,11,-0.5,4.8,4.3,0.6428,0.2102,0.9794,0.8192,1.0,0.1798,0.39,4.3
occluded_intersection,11,0.0,4.8,4.8,0.6331,0.3774,0.92,0.5107,1.0,0.0126,0.39,4.8
occluded_intersection,11,0.5,4.8,5.3,0.583,0.39,0.8643,0.3046,1.0,0.0,0.39,5.3
occluded_intersection,11,1.0,4.8,5.8,0.5442,0.39,0.8119,0.1762,1.0,0.0,0.39,5.8
occluded_intersection,11,1.5,4.8,6.3,0.5178,0.39,0.7627,0.1054,1.0,0.0,0.39,6.3
occluded_intersection,11,2.0,4.8,6.8,0.4972,0.39,0.7165,0.0605,1.0,0.0,0.39,6.8
occluded_intersection,12,-2.0,4.2,2.2,0.3736,-0.3374,1.0,0.9178,0.5,0.6778,0.3404,2.2
occluded_intersection,12,-1.5,4.2,2.7,0.3829,-0.317,1.0,0.9237,0.5,0.6574,0.3404,2.7
occluded_intersection,12,-1.0,4.2,3.2,0.4024,-0.2712,1.0,0.9293,0.5,0.6116,0.3404,3.2
occluded_intersection,12,-0.5,4.2,3.7,0.6514,0.2821,0.9713,0.7289,1.0,0.0583,0.3404,3.7
occluded_intersection,12,0.0,4.2,4.2,0.6005,0.3353,0.9124,0.4413,1.0,0.0051,0.3404,4.2
occluded_intersection,12,0.5,4.2,4.7,0.5509,0.3358,0.8571,0.2617,1.0,0.0046,0.3404,4.7
occluded_intersection,12,1.0,4.2,5.2,0.5143,0.3316,0.8052,0.1517,1.0,0.0088,0.3404,5.2
occluded_intersection,12,1.5,4.2,5.7,0.4936,0.3404,0.7564,0.0918,1.0,0.0,0.3404,5.7
occluded_intersection,12,2.0,4.2,6.2,0.4765,0.3404,0.7106,0.0636,1.0,0.0,0.3404,6.2
occluded_intersection,13,-2.0,4.667,2.667,0.3999,-0.2747,1.0,0.924,0.5,0.6258,0.3512,2.667
occluded_intersection,13,-1.5,4.667,3.167,0.3931,-0.2945,1.0,0.9293,0.5,0.6457,0.3512,3.167
occluded_intersection,13,-1.0,4.667,3.667,0.4411,-0.1773,1.0,0.9351,0.5,0.5285,0.3512,3.667
occluded_intersection,13,-0.5,4.667,4.167,0.6639,0.2854,0.9753,0.7797,1.0,0.0657,0.3512,4.167
occluded_intersection,13,0.0,4.667,4.667,0.6156,0.3512,0.9162,0.4803,1.0,0.0,0.3512,4.667
occluded_intersection,13,0.5,4.667,5.167,0.5618,0.3444,0.8607,0.2943,1.0,0.0068,0.3512,5.167
occluded_intersection,13,1.0,4.667,5.667,0.5139,0.3191,0.8086,0.1704,1.0,0.0321,0.3512,5.667
occluded_intersection,13,1.5,4.667,6.167,0.5007,0.3512,0.7596,0.1018,1.0,0.0,0.3512,6.167
occluded_intersection,13,2.0,4.667,6.667,0.4778,0.3426,0.7136,0.062,1.0,0.0085,0.3512,6.667
occluded_intersection,14,-2.0,4.867,2.867,0.3988,-0.2766,1.0,0.9225,0.5,0.6264,0.3498,2.867
occluded_intersection,14,-1.5,4.867,3.367,0.3915,-0.2976,1.0,0.9278,0.5,0.6474,0.3498,3.367
occluded_intersection,14,-1.0,4.867,3.867,0.4237,-0.2201,1.0,0.9336,0.5,0.5699,0.3498,3.867
occluded_intersection,14,-0.5,4.867,4.367,0.6512,0.2594,0.9672,0.7781,1.0,0.0903,0.3498,4.367
occluded_intersection,14,0.0,4.867,4.867,0.6106,0.3441,0.9086,0.4793,1.0,0.0057,0.3498,4.867
occluded_intersection,14,0.5,4.867,5.367,0.5558,0.3375,0.8536,0.2871,1.0,0.0123,0.3498,5.367
occluded_intersection,14,1.0,4.867,5.867,0.5152,0.329,0.8019,0.1656,1.0,0.0208,0.3498,5.867
occluded_intersection,14,1.5,4.867,6.367,0.496,0.3498,0.7533,0.089,1.0,0.0,0.3498,6.367
occluded_intersection,14,2.0,4.867,6.867,0.4758,0.3498,0.7076,0.0448,1.0,0.0,0.3498,6.867
occluded_intersection,15,-2.0,4.267,2.267,0.3834,-0.317,1.0,0.926,0.5,0.6786,0.3616,2.267
occluded_intersection,15,-1.5,4.267,2.767,0.401,-0.2754,1.0,0.9308,0.5,0.6371,0.3616,2.767
occluded_intersection,15,-1.0,4.267,3.267,0.4673,-0.1105,1.0,0.9322,0.5,0.4721,0.3616,3.267
occluded_intersection,15,-0.5,4.267,3.767,0.6656,0.3478,0.9592,0.6836,1.0,0.0138,0.3616,3.767
occluded_intersection,15,0.0,4.267,4.267,0.5896,0.3417,0.9011,0.3883,1.0,0.0199,0.3616,4.267
occluded_intersection,15,0.5,4.267,4.767,0.5419,0.339,0.8465,0.2233,1.0,0.0226,0.3616,4.767
occluded_intersection,15,1.0,4.267,5.267,0.5189,0.3587,0.7952,0.1329,1.0,0.0029,0.3616,5.267
occluded_intersection,15,1.5,4.267,5.767,0.4973,0.3616,0.747,0.0795,1.0,0.0,0.3616,5.767
occluded_intersection,15,2.0,4.267,6.267,0.4787,0.3531,0.7018,0.0601,1.0,0.0085,0.3616,6.267
occluded_intersection,16,-2.0,4.5,2.5,0.4045,-0.2589,1.0,0.9156,0.5,0.6529,0.3939,2.5
occluded_intersection,16,-1.5,4.5,3.0,0.418,-0.2292,1.0,0.9232,0.5,0.6231,0.3939,3.0
occluded_intersection,16,-1.0,4.5,3.5,0.4347,-0.1907,1.0,0.9299,0.5,0.5846,0.3939,3.5
occluded_intersection,16,-0.5,4.5,4.0,0.6597,0.2763,0.9713,0.7818,1.0,0.1176,0.3939,4.0
occluded_intersection,16,0.0,4.5,4.5,0.6299,0.3939,0.9124,0.471,1.0,0.0,0.3939,4.5
occluded_intersection,16,0.5,4.5,5.0,0.5771,0.3918,0.8571,0.2806,1.0,0.0021,0.3939,5.0
occluded_intersection,16,1.0,4.5,5.5,0.5406,0.3939,0.8052,0.1586,1.0,0.0,0.3939,5.5
occluded_intersection,16,1.5,4.5,6.0,0.5073,0.3773,0.7564,0.0864,1.0,0.0166,0.3939,6.0
occluded_intersection,16,2.0,4.5,6.5,0.4879,0.3786,0.7106,0.0438,1.0,0.0153,0.3939,6.5
occluded_intersection,17,-2.0,4.833,2.833,0.3817,-0.3232,1.0,0.93,0.5,0.6424,0.3191,2.833
occluded_intersection,17,-1.5,4.833,3.333,0.3802,-0.3293,1.0,0.9347,0.5,0.6485,0.3191,3.333
occluded_intersection,17,-1.0,4.833,3.833,0.4296,-0.208,1.0,0.9391,0.5,0.5271,0.3191,3.833
occluded_intersection,17,-0.5,4.833,4.333,0.6474,0.2691,0.9672,0.7398,1.0,0.05,0.3191,4.333
occluded_intersection,17,0.0,4.833,4.833,0.5959,0.3191,0.9086,0.4555,1.0,0.0,0.3191,4.833
occluded_intersection,17,0.5,4.833,5.333,0.5414,0.3066,0.8536,0.277,1.0,0.0126,0.3191,5.333
occluded_intersection,17,1.0,4.833,5.833,0.5108,0.3191,0.8019,0.1633,1.0,0.0,0.3191,5.833
occluded_intersection,17,1.5,4.833,6.333,0.4845,0.3191,0.7533,0.0925,1.0,0.0,0.3191,6.333
occluded_intersection,17,2.0,4.833,6.833,0.4629,0.3144,0.7076,0.0515,1.0,0.0048,0.3191,6.833
occluded_intersection,18,-2.0,4.567,2.567,0.3936,-0.2944,1.0,0.9316,0.5,0.6576,0.3632,2.567
occluded_intersection,18,-1.5,4.567,3.067,0.397,-0.2876,1.0,0.9351,0.5,0.6509,0.3632,3.067
occluded_intersection,18,-1.0,4.567,3.567,0.4237,-0.2237,1.0,0.9407,0.5,0.5869,0.3632,3.567
occluded_intersection,18,-0.5,4.567,4.067,0.6434,0.2146,0.9753,0.8189,1.0,0.1486,0.3632,4.067
occluded_intersection,18,0.0,4.567,4.567,0.6201,0.3545,0.9162,0.4962,1.0,0.0087,0.3632,4.567
occluded_intersection,18,0.5,4.567,5.067,0.5643,0.3479,0.8607,0.2996,1.0,0.0153,0.3632,5.067
occluded_intersection,18,1.0,4.567,5.567,0.5341,0.3632,0.8086,0.1833,1.0,0.0,0.3632,5.567
occluded_intersection,18,1.5,4.567,6.067,0.5085,0.3632,0.7596,0.1165,1.0,0.0,0.3632,6.067
occluded_intersection,18,2.0,4.567,6.567,0.4867,0.3587,0.7136,0.0741,1.0,0.0046,0.3632,6.567
occluded_intersection,19,-2.0,4.333,2.333,0.3738,-0.3419,1.0,0.9276,0.5,0.6556,0.3137,2.333
occluded_intersection,19,-1.5,4.333,2.833,0.3851,-0.3148,1.0,0.9303,0.5,0.6286,0.3137,2.833
occluded_intersection,19,-1.0,4.333,3.333,0.3902,-0.305,1.0,0.9358,0.5,0.6187,0.3137,3.333
occluded_intersection,19,-0.5,4.333,3.833,0.6255,0.1756,0.9753,0.8073,1.0,0.1381,0.3137,3.833
occluded_intersection,19,0.0,4.333,4.333,0.6021,0.3137,0.9162,0.4878,1.0,0.0,0.3137,4.333
occluded_intersection,19,0.5,4.333,4.833,0.5463,0.3089,0.8607,0.2879,1.0,0.0048,0.3137,4.833
occluded_intersection,19,1.0,4.333,5.333,0.5056,0.2998,0.8086,0.1678,1.0,0.0139,0.3137,5.333
occluded_intersection,19,1.5,4.333,5.833,0.4732,0.2857,0.7596,0.0953,1.0,0.028,0.3137,5.833
occluded_intersection,19,2.0,4.333,6.333,0.4635,0.3066,0.7136,0.0626,1.0,0.0071,0.3137,6.333
occluded_intersection,20,-2.0,4.567,2.567,0.3775,-0.332,1.0,0.9267,0.5,0.6547,0.3227,2.567
occluded_intersection,20,-1.5,4.567,3.067,0.3883,-0.3076,1.0,0.9318,0.5,0.6303,0.3227,3.067
occluded_intersection,20,-1.0,4.567,3.567,0.4234,-0.2221,1.0,0.9359,0.5,0.5447,0.3227,3.567
occluded_intersection,20,-0.5,4.567,4.067,0.6447,0.2495,0.9713,0.7605,1.0,0.0732,0.3227,4.067
occluded_intersection,20,0.0,4.567,4.567,0.6,0.3227,0.9124,0.4643,1.0,0.0,0.3227,4.567
occluded_intersection,20,0.5,4.567,5.067,0.545,0.3116,0.8571,0.2801,1.0,0.011,0.3227,5.067
occluded_intersection,20,1.0,4.567,5.567,0.5145,0.3227,0.8052,0.1705,1.0,0.0,0.3227,5.567
occluded_intersection,20,1.5,4.567,6.067,0.4887,0.3227,0.7564,0.1028,1.0,0.0,0.3227,6.067
occluded_intersection,20,2.0,4.567,6.567,0.4667,0.318,0.7106,0.0593,1.0,0.0047,0.3227,6.567
occluded_intersection,21,-2.0,4.967,2.967,0.3812,-0.3222,1.0,0.9254,0.5,0.6349,0.3127,2.967
occluded_intersection,21,-1.5,4.967,3.467,0.3691,-0.3549,1.0,0.9304,0.5,0.6676,0.3127,3.467
occluded_intersection,21,-1.0,4.967,3.967,0.4005,-0.2798,1.0,0.937,0.5,0.5925,0.3127,3.967
occluded_intersection,21,-0.5,4.967,4.467,0.6359,0.2081,0.9753,0.7944,1.0,0.1046,0.3127,4.467
occluded_intersection,21,0.0,4.967,4.967,0.5989,0.3062,0.9162,0.487,1.0,0.0065,0.3127,4.967
occluded_intersection,21,0.5,4.967,5.467,0.5469,0.3085,0.8607,0.2915,1.0,0.0042,0.3127,5.467
occluded_intersection,21,1.0,4.967,5.967,0.5024,0.2931,0.8086,0.165,1.0,0.0196,0.3127,5.967
occluded_intersection,21,1.5,4.967,6.467,0.4822,0.3127,0.7596,0.0861,1.0,0.0,0.3127,6.467
occluded_intersection,21,2.0,4.967,6.967,0.4606,0.3127,0.7136,0.0358,1.0,0.0,0.3127,6.967
occluded_intersection,22,-2.0,4.933,2.933,0.3729,-0.3422,1.0,0.9237,0.5,0.68,0.3378,2.933
occluded_intersection,22,-1.5,4.933,3.433,0.3801,-0.3274,1.0,0.9304,0.5,0.6651,0.3378,3.433
occluded_intersection,22,-1.0,4.933,3.933,0.4131,-0.2479,1.0,0.9365,0.5,0.5856,0.3378,3.933
occluded_intersection,22,-0.5,4.933,4.433,0.639,0.199,0.9753,0.8279,1.0,0.1388,0.3378,4.433
occluded_intersection,22,0.0,4.933,4.933,0.6132,0.3296,0.9162,0.5117,1.0,0.0081,0.3378,4.933
occluded_intersection,22,0.5,4.933,5.433,0.5614,0.3378,0.8607,0.3058,1.0,0.0,0.3378,5.433
occluded_intersection,22,1.0,4.933,5.933,0.5229,0.3378,0.8086,0.1784,1.0,0.0,0.3378,5.933
occluded_intersection,22,1.5,4.933,6.433,0.4863,0.32,0.7596,0.092,1.0,0.0178,0.3378,6.433
occluded_intersection,22,2.0,4.933,6.933,0.4717,0.3378,0.7136,0.0409,1.0,0.0,0.3378,6.933
occluded_intersection,23,-2.0,4.467,2.467,0.3901,-0.2981,1.0,0.9218,0.5,0.6445,0.3465,2.467
occluded_intersection,23,-1.5,4.467,2.967,0.3877,-0.3081,1.0,0.9297,0.5,0.6546,0.3465,2.967
occluded_intersection,23,-1.0,4.467,3.467,0.4435,-0.1711,1.0,0.9347,0.5,0.5176,0.3465,3.467
occluded_intersection,23,-0.5,4.467,3.967,0.6441,0.2625,0.9672,0.7367,1.0,0.084,0.3465,3.967
occluded_intersection,23,0.0,4.467,4.467,0.6032,0.3456,0.9086,0.4391,1.0,0.0009,0.3465,4.467
occluded_intersection,23,0.5,4.467,4.967,0.5415,0.3195,0.8536,0.2516,1.0,0.027,0.3465,4.967
occluded_intersection,23,1.0,4.467,5.467,0.5125,0.336,0.8019,0.1383,1.0,0.0105,0.3465,5.467
occluded_intersection,23,1.5,4.467,5.967,0.4918,0.3465,0.7533,0.0747,1.0,0.0,0.3465,5.967
occluded_intersection,23,2.0,4.467,6.467,0.4739,0.3465,0.7076,0.0422,1.0,0.0,0.3465,6.467
occluded_intersection,24,-2.0,4.967,2.967,0.4046,-0.2646,1.0,0.9271,0.5,0.6485,0.3839,2.967
occluded_intersection,24,-1.5,4.967,3.467,0.4069,-0.2622,1.0,0.9338,0.5,0.646,0.3839,3.467
occluded_intersection,24,-1.0,4.967,3.967,0.4506,-0.1557,1.0,0.9391,0.5,0.5395,0.3839,3.967
occluded_intersection,24,-0.5,4.967,4.467,0.6717,0.3069,0.9713,0.7807,1.0,0.077,0.3839,4.467
occluded_intersection,24,0.0,4.967,4.967,0.6271,0.3829,0.9124,0.4792,1.0,0.001,0.3839,4.967
occluded_intersection,24,0.5,4.967,5.467,0.5766,0.3839,0.8571,0.2939,1.0,0.0,0.3839,5.467
occluded_intersection,24,1.0,4.967,5.967,0.5395,0.3839,0.8052,0.1733,1.0,0.0,0.3839,5.967
occluded_intersection,24,1.5,4.967,6.467,0.512,0.3839,0.7564,0.0966,1.0,0.0,0.3839,6.467
occluded_intersection,24,2.0,4.967,6.967,0.4899,0.3799,0.7106,0.0513,1.0,0.004,0.3839,6.967
occluded_intersection,25,-2.0,4.433,2.433,0.388,-0.3045,1.0,0.9239,0.5,0.675,0.3705,2.433
occluded_intersection,25,-1.5,4.433,2.933,0.4087,-0.2555,1.0,0.9297,0.5,0.626,0.3705,2.933
occluded_intersection,25,-1.0,4.433,3.433,0.4243,-0.2196,1.0,0.9359,0.5,0.5901,0.3705,3.433
occluded_intersection,25,-0.5,4.433,3.933,0.6517,0.2379,0.9835,0.8032,1.0,0.1326,0.3705,3.933
occluded_intersection,25,0.0,4.433,4.433,0.629,0.3671,0.9239,0.5058,1.0,0.0034,0.3705,4.433
occluded_intersection,25,0.5,4.433,4.933,0.5747,0.3691,0.8679,0.3001,1.0,0.0014,0.3705,4.933
occluded_intersection,25,1.0,4.433,5.433,0.5364,0.3705,0.8153,0.1719,1.0,0.0,0.3705,5.433
occluded_intersection,25,1.5,4.433,5.933,0.5094,0.3705,0.7659,0.0985,1.0,0.0,0.3705,5.933
occluded_intersection,25,2.0,4.433,6.433,0.4891,0.3705,0.7195,0.0553,1.0,0.0,0.3705,6.433
occluded_intersection,26,-2.0,4.667,2.667,0.4039,-0.2665,1.0,0.9273,0.5,0.6302,0.3637,2.667
occluded_intersection,26,-1.5,4.667,3.167,0.4048,-0.2677,1.0,0.9345,0.5,0.6313,0.3637,3.167
occluded_intersection,26,-1.0,4.667,3.667,0.4179,-0.2378,1.0,0.94,0.5,0.6015,0.3637,3.667
occluded_intersection,26,-0.5,4.667,4.167,0.6489,0.235,0.9753,0.8054,1.0,0.1287,0.3637,4.167
occluded_intersection,26,0.0,4.667,4.667,0.6239,0.3637,0.9162,0.4971,1.0,0.0,0.3637,4.667
occluded_intersection,26,0.5,4.667,5.167,0.5707,0.3637,0.8607,0.3004,1.0,0.0,0.3637,5.167
occluded_intersection,26,1.0,4.667,5.667,0.5277,0.3505,0.8086,0.1769,1.0,0.0131,0.3637,5.667
occluded_intersection,26,1.5,4.667,6.167,0.5049,0.3637,0.7596,0.0978,1.0,0.0,0.3637,6.167
occluded_intersection,26,2.0,4.667,6.667,0.4802,0.3525,0.7136,0.0539,1.0,0.0112,0.3637,6.667
occluded_intersection,27,-2.0,4.033,2.033,0.3641,-0.3622,1.0,0.9198,0.5,0.7288,0.3665,2.033
occluded_intersection,27,-1.5,4.033,2.533,0.4014,-0.2724,1.0,0.927,0.5,0.6389,0.3665,2.533
occluded_intersection,27,-1.0,4.033,3.033,0.3931,-0.2972,1.0,0.9347,0.5,0.6637,0.3665,3.033
occluded_intersection,27,-0.5,4.033,3.533,0.4228,-0.225,1.0,0.9389,0.5,0.5916,0.3665,3.533
occluded_intersection,27,0.0,4.033,4.033,0.6521,0.233,0.9794,0.8201,1.0,0.1335,0.3665,4.033
occluded_intersection,27,0.5,4.033,4.533,0.6268,0.3665,0.92,0.501,1.0,0.0,0.3665,4.533
occluded_intersection,27,1.0,4.033,5.033,0.5716,0.3665,0.8643,0.2947,1.0,0.0,0.3665,5.033
occluded_intersection,27,1.5,4.033,5.533,0.5317,0.3633,0.8119,0.1667,1.0,0.0032,0.3665,5.533
occluded_intersection,27,2.0,4.033,6.033,0.5066,0.3665,0.7627,0.0964,1.0,0.0,0.3665,6.033
occluded_intersection,28,-2.0,4.733,2.733,0.3914,-0.2937,1.0,0.9195,0.5,0.6782,0.3845,2.733
occluded_intersection,28,-1.5,4.733,3.233,0.4015,-0.2717,1.0,0.9261,0.5,0.6562,0.3845,3.233
occluded_intersection,28,-1.0,4.733,3.733,0.4267,-0.212,1.0,0.9325,0.5,0.5965,0.3845,3.733
occluded_intersection,28,-0.5,4.733,4.233,0.6549,0.2579,0.9713,0.7946,1.0,0.1266,0.3845,4.233
occluded_intersection,28,0.0,4.733,4.733,0.6289,0.3845,0.9124,0.4848,1.0,0.0,0.3845,4.733
occluded_intersection,28,0.5,4.733,5.233,0.5727,0.3754,0.8571,0.291,1.0,0.0091,0.3845,5.233
occluded_intersection,28,1.0,4.733,5.733,0.5351,0.3744,0.8052,0.1702,1.0,0.0101,0.3845,5.733
occluded_intersection,28,1.5,4.733,6.233,0.5086,0.3765,0.7564,0.0943,1.0,0.008,0.3845,6.233
occluded_intersection,28,2.0,4.733,6.733,0.4917,0.3845,0.7106,0.0514,1.0,0.0,0.3845,6.733
occluded_intersection,29,-2.0,4.633,2.633,0.3807,-0.3209,1.0,0.9202,0.5,0.6434,0.3225,2.633
