frame,t,state,A,Ap,Ab,dA_dt,osc,risk,ttc_risk,traj_conf,transition
99,22.782,PROBE,0.378,0.4179,0.2848,-0.0072,0.0054,0.0,0.0,0.0,
100,22.988,PROBE,0.3903,0.418,0.3257,-0.0066,0.0052,0.0,0.0,0.0,
101,23.187,PROBE,0.4049,0.4228,0.3633,-0.0058,0.005,0.0,0.0,0.0,
102,23.391,COMMIT,0.2964,0.4234,0.0,-0.0056,0.0048,0.0,0.0,0.0,G3
103,23.592,COMMIT,0.2931,0.4188,0.0,-0.0054,0.0046,0.0,0.0,0.0,
104,23.796,COMMIT,0.4046,0.4199,0.3688,-0.0044,0.0043,0.0159,0.0,0.0,
105,23.994,COMMIT,0.4174,0.424,0.4022,-0.0032,0.0039,0.0149,0.0,0.0,
106,24.195,COMMIT,0.4219,0.424,0.4168,-0.0021,0.0036,0.0253,0.0003,0.0,
107,24.396,CRUISE,0.2968,0.424,0.0,-0.0019,0.0034,0.0298,0.0,0.0,G7_from_commit
108,24.597,CRUISE,0.4334,0.4278,0.4464,-0.0006,0.0033,0.0353,0.0,0.0,
109,24.813,CRUISE,0.4333,0.4275,0.447,0.0005,0.0032,0.0319,0.0,0.0,
110,25.043,CRUISE,0.2992,0.4275,0.0,0.0008,0.003,0.0,0.0,0.0,
111,25.248,PROBE,0.4329,0.4273,0.4458,0.002,0.003,0.0002,0.0005,0.0,G1
112,25.442,PROBE,0.2991,0.4273,0.0,0.0021,0.0029,0.0,0.0,0.0,
113,25.656,PROBE,0.2997,0.4281,0.0,0.0021,0.0029,0.0,0.0,0.0,
114,25.86,PROBE,0.4393,0.4312,0.4583,0.0029,0.0032,0.0,0.0,0.0,
115,26.061,PROBE,0.4462,0.4301,0.4837,0.0037,0.0035,0.0,0.0,0.0,
116,26.275,PROBE,0.4495,0.4302,0.4947,0.0044,0.0039,0.0,0.0,0.0,
117,26.489,PROBE,0.4498,0.4318,0.4919,0.0046,0.004,0.0003,0.0008,0.0,
118,26.684,PROBE,0.4439,0.4307,0.4746,0.0047,0.0041,0.0,0.0,0.0,
119,26.884,PROBE,0.4475,0.4299,0.4885,0.0048,0.0042,0.0004,0.001,0.0,
120,27.086,PROBE,0.4505,0.43,0.4984,0.0048,0.0042,0.0002,0.0006,0.0,
121,27.28,PROBE,0.4549,0.429,0.5153,0.0048,0.0042,0.0001,0.0002,0.0,
122,27.476,PROBE,0.4601,0.4296,0.5311,0.0048,0.0042,0.0215,0.0614,0.0,
123,27.674,PROBE,0.4752,0.4512,0.5311,0.0051,0.0044,0.0949,0.2713,0.0,
124,27.934,PROBE,0.4973,0.4839,0.5287,0.0051,0.0044,0.1309,0.3741,0.0,
125,28.156,PROBE,0.3387,0.4839,0.0,0.0041,0.0041,0.0,0.0,0.0,
126,28.366,HOLD,0.3396,0.4851,0.0,0.0034,0.0042,0.0,0.0,0.0,G2
127,28.568,HOLD,0.3396,0.4851,0.0,0.0023,0.0039,0.0,0.0,0.0,
128,28.773,HOLD,0.497,0.4856,0.5238,0.0027,0.0042,0.1247,0.3562,0.0,
129,28.977,HOLD,0.5002,0.4878,0.5291,0.0032,0.0045,0.0889,0.2539,0.0,
130,29.19,HOLD,0.3419,0.4884,0.0,0.0027,0.0046,0.0,0.0,0.0,
131,29.396,HOLD,0.5005,0.4882,0.5291,0.0033,0.0049,0.1205,0.3442,0.0,
132,29.612,HOLD,0.3418,0.4882,0.0,0.0022,0.0046,0.0,0.0,0.0,
133,29.826,HOLD,0.4973,0.486,0.5238,0.0019,0.0044,0.0522,0.1491,0.0,
134,30.007,HOLD,0.3417,0.4882,0.0,0.0014,0.0046,0.0,0.0,0.0,
135,30.214,HOLD,0.4952,0.488,0.5119,0.002,0.0048,0.0093,0.0264,0.0,
136,30.417,HOLD,0.4906,0.4868,0.4993,0.0025,0.005,0.0001,0.0003,0.0,
137,30.62,HOLD,0.3408,0.4868,0.0,0.0011,0.0047,0.0,0.0,0.0,
138,30.823,HOLD,0.3421,0.4887,0.0,0.0007,0.0049,0.0,0.0,0.0,
139,31.036,HOLD,0.3423,0.4891,0.0,0.0004,0.005,0.0,0.0,0.0,
140,31.242,PROBE,0.3423,0.4891,0.0,-0.0009,0.0048,0.0,0.0,0.0,G5
141,31.441,PROBE,0.3424,0.4892,0.0,-0.0012,0.0049,0.0,0.0,0.0,
142,31.635,PROBE,0.4911,0.4875,0.4993,-0.0015,0.0047,0.0096,0.0274,0.0,
143,31.834,PROBE,0.3413,0.4875,0.0,-0.0028,0.0044,0.0,0.0,0.0,
144,32.04,PROBE,0.4959,0.4893,0.5115,-0.0021,0.0046,0.0086,0.0244,0.0,
